stop_id,search_details_id,search_details_type,search_details_description,,
1445714,1629042,ActionTaken,Citation,,
1445142,1628435,ActionTaken,Citation,,
1445792,1629120,ActionTaken,Citation,,
1445143,1628436,ActionTaken,Citation,,
1445758,1629086,ActionTaken,Written Warning,,
1445776,1629104,ActionTaken,Citation,,
1445793,1629121,ActionTaken,Citation,,
1445729,1629057,ActionTaken,Citation,,
1445150,1628443,ActionTaken,FI,,
1447122,1630501,ActionTaken,Citation,,
1445713,1629041,ActionTaken,Citation,,
1445146,1628439,ActionTaken,Citation,,
1445794,1629122,ActionTaken,Citation,,
1445145,1628438,ActionTaken,Citation,,
1445147,1628440,ActionTaken,Verbal Warning,,
1445148,1628441,ActionTaken,Verbal Warning,,
1445795,1629123,ActionTaken,Citation,,
1445149,1628442,ActionTaken,Citation,,
1447193,1630574,ActionTaken,Citation,,
1445167,1628459,ActionTaken,Citation,,
1445167,1628460,SearchType,Vehicle,,
1445167,1628461,SearchBasis,Inventory Search [Prior to Impound],,
1445728,1629056,ActionTaken,Citation,,
1445735,1629063,ActionTaken,Citation,,
1445154,1628447,ActionTaken,Citation,,
1445151,1628444,ActionTaken,Citation,,
1447166,1630547,ActionTaken,Citation,,
1447189,1630570,ActionTaken,Citation,,
1445152,1628445,ActionTaken,Citation,,
1447194,1630575,ActionTaken,Citation,,
1447162,1630543,ActionTaken,Citation,,
1445153,1628446,ActionTaken,FI,,
1445155,NULL,NULL,NULL,,
1445195,1628484,ActionTaken,Citation,,
1447216,1630597,ActionTaken,Citation,,
1447165,1630546,ActionTaken,Citation,,
1445727,1629055,ActionTaken,Citation,,
1447190,1630571,ActionTaken,Citation,,
1445156,1628448,ActionTaken,Verbal Warning,,
1445196,1628485,ActionTaken,Citation,,
1445796,1629124,ActionTaken,Citation,,
1447167,1630548,ActionTaken,Citation,,
1447115,1630495,ActionTaken,Written Warning,,
1447195,1630576,ActionTaken,Citation,,
1447132,1630511,ActionTaken,Written Warning,,
1445756,1629084,ActionTaken,Citation,,
1445777,1629105,ActionTaken,Citation,,
1445157,1628449,ActionTaken,Verbal Warning,,
