cz,cz_name,cz_pop2000,cz_pop_black2000,cz_pop_hisp2000,cz_pop_white2000,kfr_pooled_p25,kfr_black_pooled_p25,kfr_white_pooled_p25,kir_black_female_p25,kir_black_female_p75,kir_black_male_p25,kir_black_male_p75,kir_hisp_female_p25,kir_hisp_female_p75,kir_hisp_male_p25,kir_hisp_male_p75,kir_white_female_p25,kir_white_female_p75,kir_white_male_p25,kir_white_male_p75
19100,Reading,1114959,28662,70739,992715,43.91,33.01,47,39.81,51.47,36.52,52.53,38.13,49.31,43.97,56.72,40.74,53.32,50.91,65.47
19200,Harrisburg,1051424,61695,28839,935907,42.36,31.11,45.4,39.96,52.06,35.74,51.62,39.57,49.47,42.61,59.66,39.15,54.01,49.25,64.19
19300,Poughkeepsie,873232,65567,75578,700962,42.43,33.89,45.63,42.61,53.63,38.14,51.25,42.84,53.36,47.28,59.15,41.74,55.59,49.25,63.91
19400,New York,11781395,2311940,2593347,5584368,44.09,37.6,54.13,47.09,56.86,42.36,52.42,46.25,55.5,50.1,59.66,49.33,63.84,55.59,68.37000000000001
19500,Toms River,1126217,62176,63813,955076,45.05,34.62,48.69,43.58,55.83,39.79,53.5,42.84,52.33,48.89,62.22,44.31,56.49,52.34,65.81999999999999
19600,Newark,5822286,806019,944751,3531051,44.09,35.24,51.79,45.22,55.83,40.5,52.66,47.76,57.38,51.18,61.85,47.97,59.5,54.7,67.69
19700,Philadelphia,5602247,1083976,320536,3922223,40.11,32.77,47.2,42.43,54,37.62,51.52,40.75,52.8,43.81,58.45,43.25,56.49,50.66,65.18000000000001
19800,Wilmington,586216,102969,27599,433306,36.91,32.13,41.42,42.43,54.46,37.14,52.38,40.61,51.72,46.06,58.14,39.86,54.71,45.76,62.27
19901,Dover,439269,86177,13756,326014,38.06,33.07,42.13,41.76,53.87,38.84,52.86,41.52,55.5,46.06,58.73,40.56,54.12,45.5,61.15
19902,Easton,154018,25041,2779,123515,38.9,32.96,43.27,41.37,56.08,39.61,52.31,42.84,46.22,45.81,60.72,41.05,54.01,46.23,62.6
19903,Chincoteague,51398,17641,2516,30575,37.4,32.92,45.04,40.91,54.18,39,50.04,35.21,43.93,53.59,66.04000000000001,42.76,51.7,45.38,60.22
20001,Bangor,289843,983,1747,280737,41.29,38.53,42.24,42.43,48.08,44.7,49.28,39.09,49.7,46.14,53.02,38.13,51.7,46.03,60.6
20002,Calais,33941,79,274,31640,38.33,40.15,40.79,,,,,31.98,46.08,31.8,63.44,37.73,49.07,44.08,57.62
20003,Presque Isle,73938,269,441,71309,42.77,35.86,44.17,33.06,43.65,40.92,70.27,35.21,54.87,45.93,66.61,39.41,52.31,48.09,63.07
20100,Portland,690459,4357,5597,665325,41.68,36.8,42.49,39.08,45.48,43.55,52.11,39.64,49.82,46.14,56.11,38.9,52.55,46.73,61.38
20200,Burlington,321496,1876,2879,307560,43.52,37.31,44.52,39.58,53.29,42.36,55.56,43.69,53.49,38.59,59.15,41.05,55.34,48.65,62.95
20301,Berlin,95549,217,624,92765,43.65,36.36,44.7,44.57,31.02,41.14,24.02,40.06,51.72,52.71,63.63,39.72,54.98,49.65,62.5
20302,Claremont,265884,1017,2500,256287,43.65,40.38,44.7,42.01,46.45,42.61,67.70999999999999,42.32,50.55,49.27,55.93,41.21,54.98,48.4,61.94
20401,Providence,1582997,51710,110062,1336371,42.77,36.93,45.15,44.57,54.95,41.42,53.5,42.84,51.91,46.5,59.15,42.76,56.73,49.4,64.40000000000001
20402,Nantucket,9520,783,212,8275,48.04,27.57,51.42,,,,,53.67,30.85,,,47.56,57.42,53.16,65.29000000000001
20403,Oak Bluffs,14987,346,155,13489,43.65,39.49,44.92,59.97,51.09,39.57,59.44,33.82,56.55,,,45.49,57.05,46.03,62.17
20500,Boston,4974945,267474,331000,4028234,44.9,39.13,48.16,48.01,57.63,44.33,56.5,44.71,54.36,48.26,58.89,45.02,58.4,52.17,66.40000000000001
20600,Manchester,1193391,8308,19925,1135180,43.65,37.9,44.83,44.15,50.93,42.22,57.08,39.51,51.31,48.18,57.93,40.89,54.01,49.4,63.43
20700,Keene,118041,460,1022,114261,42.67,36.36,43.75,39.36,36.97,41.42,56.14,42.84,49.91,40.14,47.46,40.89,53.32,47.67,60.9
20800,Springfield,680014,37368,75834,543462,41.29,34.81,45.27,42.01,53.87,40.35,54.93,38.77,51.43,43.04,55.44,43,56.73,49.51,63.56
20901,Bridgeport,3405565,295571,320323,2638845,41.81,35.24,46.71,45.22,55.28,39.36,52.42,43.69,55.5,45.56,58.73,45.26,58.09,49.99,64.79000000000001
20902,Pittsfield,171947,2719,2630,162877,41.68,32.44,42.72,42.22,48.65,36.05,61.54,40.38,52.99,43.35,57.79,41.37,54.86,46.59,62.27
21001,Ashland,47701,71,395,43331,46.02,26.49,48.82,,,,,36.04,54.87,45.2,31.96,42.06,53.08,52.17,63.43
