super_opeid,instnm,count,count_pq1,count_pq2,count_pq3,count_pq4,count_pq5,inventor,inventor_pq1,inventor_pq2,inventor_pq3,inventor_pq4,inventor_pq5,top5cit,total_patents,total_cites
1869,"Iowa State University Of Science & Technology",19581,787,2107,3959,5763,6965,.015372,.0203304,.0071191,.014145,.0161374,.0173726,.0007539,573,520
1874,"Luther College",2723,102,203,504,739,1175,.0051414,0,0,.0059524,.0027064,.0076596,0,24,16
1890,"University Of Northern Iowa",10211,388,1143,2335,3465,2880,.0015669,0,.0017498,.0017131,.001443,.0017361,.0000976,12,23
1892,"University Of Iowa",18373,579,1307,2582,4445,9460,.0052251,.0086356,.0038256,.0046476,.0049494,.0054968,.0002167,139,535
1926,"Pittsburg State University",4854,355,809,1192,1507,991,.0026782,0,.0049444,.0008389,.0019907,.0050454,1.03e-06,18,15
1928,"Kansas State University",17499,709,2012,3492,5091,6195,.0069718,.0084626,.0089463,.0057274,.006482,.0072639,.000498,180,325
1948,"University Of Kansas",18243,589,1312,2479,4193,9670,.0049882,.0016978,.0015244,.0024203,.0047699,.0064116,.0002762,189,3115
1977,"Murray State University",6679,599,951,1514,1908,1707,.0014972,0,.0010515,.0019815,.0020964,.0011716,.00015,30,103
1999,"University Of Louisville",10811,819,1505,2046,3193,3248,.0038849,.003663,.0019934,.0029326,.0037582,.0055419,4.26e-06,65,52
2008,"Louisiana Tech University",9022,1087,1398,1760,2366,2411,.0036577,0,.0014306,.0045455,.0021133,.0074658,.0001774,51,39
2015,"University Of New Orleans ",9007,1541,1798,1773,2104,1791,.0014433,.0012979,.0016685,0,.0004753,.0039084,0,18,0
2031,"University Of Louisiana At Lafayette",12050,1647,1913,2387,3122,2981,.0026556,.0006072,.0005227,.0037704,.0032031,.00369,.0002368,57,39
2036,"Bates College",1930,49,94,177,321,1289,.0051813,0,0,.0056497,.0062305,.0054306,0,9,2
2038,"Bowdoin College",1836,80,112,144,242,1258,.0114379,0,.0089286,.0208333,.0041322,.0127186,4.47e-07,41,52
2039,"Colby College",2168,52,65,158,257,1636,.0078413,0,0,0,.0038911,.00978,.0013867,26,64
2058,"Anne Arundel Community College",10847,815,1363,2057,3022,3590,.0011985,0,.0014674,.0009723,.0013236,.0013928,.0000286,15,35
2077,"Johns Hopkins University",4247,182,278,420,646,2721,.0230751,.0054945,.0035971,.0119048,.0201238,.0286659,.0006952,147,155
2078,"Loyola University Maryland",3675,54,211,267,564,2579,.0035374,.0185185,0,.0037453,.001773,.0038775,3.25e-06,9,22
2115,"Amherst College",1663,88,89,154,161,1171,.0066146,0,0,0,.0124224,.0076857,0,11,0
2121,"Babson College",1409,59,97,128,239,886,.0070972,.0338983,.0103093,0,.0083682,.0056433,.0007093,20,54
2124,"Bentley University",3799,167,291,487,681,2173,.003422,.005988,0,0,.0044053,.0041417,.0002762,29,219
2128,"Boston College",9836,326,524,755,1358,6873,.0044734,.006135,.0038168,.0039735,.0044183,.0045104,8.39e-06,64,254
